SampleIDs	Bacteroidetes	Firmicutes	unclassified	Fusobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Lentisphaerae	Deinococcus	Synergistetes	Elusimicrobia	TM7
SRR1796131	52.524666279744636	28.49680789320952	11.085316308763785	0.0	7.4289030760301795	0.2901915264074289	0.17411491584445735	0.0	0.0	0.0	0.0	0.0
SRR1796133	58.270458502611724	36.7382472431805	1.8572257690075449	0.0	1.625072547881602	1.5089959373186304	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796174	25.652930934416716	33.95240858966918	38.94370284387696	0.0	0.812536273940801	0.3482298316889147	0.0	0.2901915264074289	0.0	0.0	0.0	0.0
SRR1796191	35.69355774811376	53.33720255368544	10.098665118978525	0.0	0.522344747533372	0.05803830528148578	0.2321532211259431	0.05803830528148578	0.0	0.0	0.0	0.0
SRR1796192	44.747533372025536	50.78351712130006	2.2634939059779455	0.11607661056297155	1.3348810214741729	0.17411491584445735	0.0	0.11607661056297155	0.0	0.4643064422518862	0.0	0.0
SRR1796209	44.747533372025536	51.94428322692978	1.625072547881602	0.0	0.6384213580963436	1.044689495066744	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796211	58.67672663958212	37.899013348810215	1.044689495066744	0.0	2.321532211259431	0.05803830528148578	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796212	32.67556587347649	53.39524085896692	9.22809053975624	0.0	3.3081834010446896	0.6384213580963436	0.6384213580963436	0.11607661056297155	0.0	0.0	0.0	0.0
SRR1796213	48.86825304701103	35.1131746952989	0.6384213580963436	0.0	0.0	5.571677307022635	9.808473592571097	0.0	0.0	0.0	0.0	0.0
SRR1796214	33.02379570516541	47.41729541497388	14.857806152060359	0.0	1.7411491584445733	0.812536273940801	1.8572257690075449	0.2901915264074289	0.0	0.0	0.0	0.0
SRR1796215	46.37260591990714	45.90829947765525	4.12071967498549	0.0	2.4376088218224026	0.2321532211259431	0.9286128845037724	0.0	0.0	0.0	0.0	0.0
SRR1796216	52.58270458502612	38.18920487521764	5.397562391178178	0.6384213580963436	2.4956471271038887	0.6964596633778294	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796217	52.698781195589085	40.917005223447475	3.946604759141033	0.0	2.1474172954149737	0.2901915264074289	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796218	77.30702263493906	21.125943122460825	1.1027278003482297	0.0	0.11607661056297155	0.3482298316889147	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796219	43.87695879280325	37.086477074869414	1.5089959373186304	15.031921067904817	2.2634939059779455	0.05803830528148578	0.17411491584445735	0.0	0.0	0.0	0.0	0.0
SRR1796220	25.76900754497969	71.445153801509	2.089378990133488	0.0	0.6384213580963436	0.05803830528148578	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796222	61.46256529309344	30.237957051654092	5.745792222867093	0.0	1.6831108531630876	0.7544979686593152	0.0	0.11607661056297155	0.0	0.0	0.0	0.0
SRR1796223	41.26523505513639	57.457922228670924	0.6384213580963436	0.0	0.4062681369704005	0.17411491584445735	0.05803830528148578	0.0	0.0	0.0	0.0	0.0
SRR1796224	33.60417875798027	63.90017411491584	1.8572257690075449	0.0	0.5803830528148578	0.05803830528148578	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796225	24.31804991294254	60.011607661056296	8.24143934997098	0.0	1.044689495066744	5.6877539175856064	0.522344747533372	0.05803830528148578	0.0	0.0	0.11607661056297155	0.0
SRR1796226	33.66221706326175	60.824143934997096	3.4822983168891466	0.0	0.6384213580963436	0.4643064422518862	0.8705745792222866	0.0	0.0	0.0	0.0	0.05803830528148578
SRR1796227	44.631456761462566	52.06035983749274	1.8572257690075449	0.0	0.8705745792222866	0.4643064422518862	0.05803830528148578	0.0	0.0	0.05803830528148578	0.0	0.0
SRR1796228	46.77887405687754	48.5780615206036	3.1340684852002325	0.05803830528148578	1.2768427161926872	0.17411491584445735	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796230	52.17643644805572	45.67614625652931	0.4643064422518862	0.0	1.3929193267556588	0.2901915264074289	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796231	64.4805571677307	30.295995356935578	3.656413232733604	0.0	0.7544979686593152	0.5803830528148578	0.0	0.2321532211259431	0.0	0.0	0.0	0.0
SRR1796232	42.36796285548462	44.10911201392919	12.884503772489845	0.0	0.4062681369704005	0.2321532211259431	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796233	32.03714451538015	62.0429483459083	4.178757980266976	0.0	1.3929193267556588	0.17411491584445735	0.11607661056297155	0.05803830528148578	0.0	0.0	0.0	0.0
SRR1796235	39.640162507254786	55.5426581543819	4.062681369704005	0.0	0.522344747533372	0.0	0.11607661056297155	0.11607661056297155	0.0	0.0	0.0	0.0
